Seed,Model,Outlier_Mode,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
10,Ridge,iqr_remove,166,55,0.7333241590718285,0.0803331429290623,0.7654706700619724,135.717761294728,55.743459465538876
10,MLP,iqr_remove,166,55,0.6806543190204964,0.08269235949809517,0.8313407240263697,115.09149240676565,48.60685522560632
10,RandomForest,winsorize_1_99,218,55,0.5299065385119356,0.5922245900763538,0.9129637707879147,82.67765296083816,43.30038727272741
10,ExtraTrees,winsorize_1_99,218,55,0.6183691422103885,0.47125231833865205,0.8801481816104202,97.01980995828576,47.229397454545456
10,KNN,winsorize_1_99,218,55,0.6785745740711596,0.2552168571269905,0.9547566410750834,59.60950642815124,33.16284514952399
10,Ridge,winsorize_1_99,218,55,0.6311921344747738,0.355652178087126,0.9097582717264899,84.18637468446464,49.832884987877115
10,MLP,winsorize_1_99,218,55,0.5823965106617595,0.2908598383885312,0.9149763216379357,81.71617893727439,47.434214398822796
11,RandomForest,none,218,55,0.7377570709940916,0.10497812901134317,0.9198946267520443,25.939390611808268,15.144617090909097
11,ExtraTrees,none,218,55,0.8002816046713039,0.04764315060587957,0.9156661533813915,26.615210158069427,15.382795636363666
11,KNN,none,218,55,0.776855334210173,0.08051674853728044,0.8744919671699258,32.46868548061977,18.82528165682344
11,Ridge,none,218,55,0.8102857937038358,0.07700439433999812,0.8610895121072303,34.1583168940458,22.143559493912562
11,MLP,none,218,55,0.7986549632734242,0.06604588216510425,0.6679834771390396,52.809103323031195,27.601595639470233
11,RandomForest,iqr_remove,163,55,0.614000213770386,0.12642906089719655,0.7284747234357922,47.75667448593256,18.93892072727277
11,ExtraTrees,iqr_remove,163,55,0.7499712042886124,0.04796939444957595,0.7502538212473221,45.80135968694378,19.532886545454623
11,KNN,iqr_remove,163,55,0.6790566376390437,0.09841763960001278,0.5369272487930632,62.36681390730409,26.749686371590332
11,Ridge,iqr_remove,163,55,0.6386771059992429,0.131707009578382,0.8981574259889976,29.247828572826872,17.480180377101718
11,MLP,iqr_remove,163,55,0.5450578809722985,0.3520452834854518,0.6347375000695266,55.39001573387248,29.06713572655184
11,RandomForest,winsorize_1_99,218,55,0.7426135545150031,0.11734235304070918,0.9196840564329816,25.97346124127226,15.131990545454558
11,ExtraTrees,winsorize_1_99,218,55,0.7906180596479253,0.07789260063085818,0.9122976433965388,27.141545675255507,15.599210909090923
11,KNN,winsorize_1_99,218,55,0.7781200345082034,0.10124012246542899,0.8690701583560261,33.162576606341155,18.811774601408366
11,Ridge,winsorize_1_99,218,55,0.8129310140204504,0.09047466674708216,0.7581747835579067,45.06918840729425,25.901472204515553
11,MLP,winsorize_1_99,218,55,0.7931529682382423,0.10672990250532848,0.5933909888031779,58.440973873025634,29.840969286284686
12,RandomForest,none,218,55,0.8471392902414226,0.11339991435592797,0.6308672548453229,195.1363745284053,66.55937127272732
12,ExtraTrees,none,218,55,0.8621430128981851,0.12458477088620253,0.610143513510012,200.53922299956517,65.46162654545464
12,KNN,none,218,55,0.8374671114570731,0.07113214696114045,0.537653874512102,218.38889805558264,70.1167947986474
12,Ridge,none,218,55,0.886636197916264,0.09024323383382302,0.5484619337678995,215.8212134595662,79.35348644969436
12,MLP,none,218,55,0.5840993028656895,0.1935362941014677,0.6427727698825856,191.96374933223316,69.41520656462154
12,RandomForest,iqr_remove,168,55,0.6740848919115839,0.2402726228373493,0.2623338272123904,275.8524718316373,88.673426909091
12,ExtraTrees,iqr_remove,168,55,0.7648983122535657,0.12561033223685206,0.26255791819911356,275.8105689016437,85.91662072727294
12,KNN,iqr_remove,168,55,0.6717454909833483,0.16451145663012595,0.048129948131181766,313.35438552809205,102.49155629189623
12,Ridge,iqr_remove,168,55,0.5172686914575891,0.5130301835412447,0.3903825857185328,250.7700277092438,87.03880465108261
12,MLP,iqr_remove,168,55,0.46106133040419034,0.3460029852702492,0.4887502478190998,229.64844069718905,73.40751662458618
12,RandomForest,winsorize_1_99,218,55,0.8532683502960893,0.115217670580037,0.6577767548855364,187.88914850694258,65.2571214545455
12,ExtraTrees,winsorize_1_99,218,55,0.8715294693528408,0.11745537142158789,0.588533772470945,206.02221073750624,67.40333345454557
12,KNN,winsorize_1_99,218,55,0.8744112384891757,0.07279707506009937,0.5444911360694974,216.76809548135537,70.22091264241415
