Stratify_Col,Seed,Model,Outlier_Mode,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean
pH,22,MLP,none,0.6186830188704133,164.74786774686643,68.74815947668814,0.5266827552475444
pH,22,RandomForest,winsorize_1_99,0.8564905162375931,101.06878165732631,38.47943963636362,-1.0435247744786458
pH,22,ExtraTrees,winsorize_1_99,0.891660165355447,87.8154262288787,35.48245090909094,-0.8584070758836703
pH,22,KNN,winsorize_1_99,0.8129666908114147,115.38150736445147,50.62022182050713,0.05781979250871929
pH,22,Ridge,winsorize_1_99,0.9228796419891475,74.0902820196104,45.99188559605626,-0.38312573704483305
pH,22,MLP,winsorize_1_99,0.5080313829316307,187.13086680865823,76.37381534036096,0.5520171676721051
pH,23,RandomForest,none,0.9050934131975563,46.964019726930545,23.757565090909104,0.7056355454738761
pH,23,ExtraTrees,none,0.8466850048747703,59.69107511267378,24.20661272727274,0.7432146409129254
pH,23,KNN,none,0.8754266419325114,53.805871516108226,30.654160055198922,0.7343401054192645
pH,23,Ridge,none,0.8924312260502316,49.99887052321651,34.7363644211572,0.796542108501028
pH,23,MLP,none,0.28511740513245387,128.89451780177797,61.166890767483274,0.6794375440011436
pH,23,RandomForest,winsorize_1_99,0.9046893952046532,47.06387664442251,24.29940763636366,0.7062948183983447
pH,23,ExtraTrees,winsorize_1_99,0.8728571494459199,54.35794832585509,23.03415600000006,0.7373343190828964
pH,23,KNN,winsorize_1_99,0.8917147947856437,50.16509584600644,29.49224445791406,0.7226514953918055
pH,23,Ridge,winsorize_1_99,0.8911339924021274,50.299449578230735,34.111783817927446,0.7880342805482116
pH,23,MLP,winsorize_1_99,0.38360987948750114,119.6864316405417,56.935559735748264,0.6971204483827371
pH,24,RandomForest,none,0.1885844037120864,196.58687143268062,58.44931490909089,0.7888553590593805
pH,24,ExtraTrees,none,0.4945680085964068,155.15443682093047,52.54852836363627,0.8238661105340078
pH,24,KNN,none,0.5771028194430967,141.92216594315053,54.3806418090934,0.7839339990595457
pH,24,Ridge,none,0.5951168942843402,138.8665555777442,58.27007643715685,0.7666283677828518
pH,24,MLP,none,0.6533320623344324,128.4960193841908,65.4516311219986,0.8484884283770462
pH,24,RandomForest,winsorize_1_99,0.1678693817591832,199.08043761751597,58.8494901818182,0.7918836273877053
pH,24,ExtraTrees,winsorize_1_99,0.2810406528388365,185.0482587293885,56.93393709090903,0.7981644024239467
pH,24,KNN,winsorize_1_99,0.585264356115741,140.54600862375767,56.95241593229095,0.7577407574982471
pH,24,Ridge,winsorize_1_99,0.5018066142656242,154.03939857648555,70.13054883464385,0.7964705462306426
pH,24,MLP,winsorize_1_99,0.5404332079862436,147.94733798660613,73.68688140893009,0.8455688094392737
pH,25,RandomForest,none,0.9301039385288502,36.50164924135361,19.45018981818179,0.5731547444396845
pH,25,ExtraTrees,none,0.8727207486009806,49.25665790025703,21.72322000000001,0.7166424624922844
pH,25,KNN,none,0.8253547152022664,57.69850593307778,26.065138757208768,0.7633354207018961
pH,25,Ridge,none,0.8437150108573693,54.581412263858255,32.536706259615144,0.7379205040558349
pH,25,MLP,none,0.8367170645125244,55.79002228618654,28.88036501454304,0.6721649470221566
pH,25,RandomForest,winsorize_1_99,0.9297422432413872,36.59597099840875,19.427943636363604,0.562606159439814
pH,25,ExtraTrees,winsorize_1_99,0.8897491921423563,45.8434216953726,21.212347636363653,0.6885595422601704
pH,25,KNN,winsorize_1_99,0.8000154276558691,61.74252439055496,29.50412039589257,0.8028213775107936
pH,25,Ridge,winsorize_1_99,0.856379651868673,52.3231790184388,31.849374067750276,0.7080267714304103
pH,25,MLP,winsorize_1_99,0.8476668433690945,53.8869193160079,26.357500672529195,0.6396362126348466
pH,26,RandomForest,none,0.8976132425852417,88.91277347935375,34.116785818181796,0.5121952069573128
pH,26,ExtraTrees,none,0.8969279330792506,89.20983898499429,34.41606836363627,0.5205469269180222
pH,26,KNN,none,0.8050387368935991,122.69205140177984,43.600738685435935,0.7415640605828411
pH,26,Ridge,none,0.9142956339507025,81.34741117298346,42.49353672256217,0.7446639344960861
pH,26,MLP,none,0.30839271066836693,231.08515330046967,85.1754785714886,0.5528819185485643
pH,26,RandomForest,winsorize_1_99,0.9201919143811557,78.49928655327295,32.33418509090897,0.4782788820946292
pH,26,ExtraTrees,winsorize_1_99,0.923856568975328,76.67582969051895,32.501557090909024,0.4052951053349309
pH,26,KNN,winsorize_1_99,0.8452809734365034,109.29848070554952,42.519753692811854,0.724552441269312
pH,26,Ridge,winsorize_1_99,0.8965833978476563,89.35881383007914,48.1756205726071,0.6476834847741183
pH,26,MLP,winsorize_1_99,0.2628258219223374,238.57631159249868,87.47756113227115,0.6001576196420586
pH,27,RandomForest,none,0.8824530004245156,112.57521927266691,43.33797163636356,0.8055688272259399
pH,27,ExtraTrees,none,0.938414969851943,81.48442526527054,33.60773163636348,0.8050688889585762
pH,27,KNN,none,0.8755309434621904,115.84244794715318,42.02216098525691,0.7701392377122847
pH,27,Ridge,none,0.8957675034246307,106.00798940244279,42.9386796970892,0.8542512255940542
pH,27,MLP,none,0.8016531536919876,146.2344436985819,57.576559669668804,0.6815146972366544
pH,27,RandomForest,winsorize_1_99,0.8843729753357905,111.65205034141718,43.05731527272721,0.8067359425843161
