pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
2.88,66000.0,2100.0,9300.0,620000.0,13.546279220336318,-1.332538113078273,-60.23147205552904,15.11966660678962,-4.104104573610486
7.25,26000.0,7400.0,74.0,570000.0,-10.752793358355909,-1.7421493704322548,-28.933293394816907,-60.74554069741067,-2.856746015535485
3.5,32000.0,4400.0,310.0,440000.0,10.559986091497867,-1.915608951920677,-40.509906619945745,-55.114768495792205,-3.8054863876294527
3.99,24000.0,3500.0,89.0,230000.0,7.6203256242711825,-2.096696097919574,-40.953530519751354,-60.439915660674835,-4.870065112587659
3.22,97000.0,3900.0,160.0,1600000.0,12.23535815948077,1.6469836919823548,-46.16893400465049,-69.22170028581506,9.03984043919359
3.4,52000.0,9200.0,710.0,570000.0,9.781910202405811,-0.7825498579217357,-23.9778969968671,-55.50920854297911,-2.7634349279189863
2.99,52000.0,1700.0,5100.0,410000.0,12.327824570173288,-1.7129569360427965,-55.29802214593718,-15.202224096570777,-6.041906160482509
2.95,16000.0,5300.0,1700.0,340000.0,11.153376299788508,-2.321638082916193,-39.3589735391581,-38.473793444836055,-5.5841674967284565
2.96,31000.0,6300.0,2600.0,420000.0,12.6646842341632,-1.9477130278246997,-37.291981446400264,-30.467444937624993,-5.113862322750943
3.85,43000.0,4000.0,43.0,310000.0,8.055388238131302,-1.5682417175548045,-41.32946575907099,-63.12698295827272,-4.454883565282852
3.46,164000.0,4600.0,320.0,1900000.0,10.530718118951256,4.886846361024501,-45.48788210125288,-65.05546472628093,10.105635724434045
3.13,50000.0,45000.0,19000.0,980000.0,12.756996914224011,-17.412048845948306,490.8476943475103,62.931114705275895,-28.391028809705034
2.72,111000.0,4100.0,18000.0,760000.0,15.213723487535544,-4.449734175253101,-63.85242768553349,72.96418575132974,-5.596729584043939
2.52,49000.0,2300.0,16000.0,540000.0,9.14726785649686,-7.1371883872862,-70.87269487620246,47.105025442626925,-8.47597428409741
3.43,11000.0,6600.0,14.0,740000.0,9.829307804935132,-2.241850408473881,-35.94767603823604,-74.29456161670325,-1.8125988740335195
3.68,46000.0,17000.0,1300.0,1900000.0,7.4333832330756,-3.073844940509159,9.900746212553058,-77.25338758070139,8.745063016516678
3.06,2900.0,4700.0,26000.0,390000.0,18.110350221915013,1.0290274228014609,-63.21321447289311,145.80579713339264,-18.502357937493286
2.9,52000.0,1500.0,27000.0,640000.0,17.27383242589502,-4.610312120329405,-93.1684948502565,133.82318934477271,-11.53101086823916
